"Reference","seq_silkscreen","Qty","Value","seq_partno","Description","seq_socket","seq_purchase_url","Datasheet","DNP","Exclude from BOM","Exclude from Board"
"C6","","1","5.0 - 70.0pF","Johanson 9338","Differential variable capacitor with two stators","","https://www.surplussales.com/items/106928/ceramic-trimmer-capacitor/ ","https://surplussales-prod-media.sfo3.digitaloceanspaces.com/sfo3/item_pdfs/Variables/pdf/JMC-CerTrm9300.pdf","","",""
"CR1,CR2","","2","1N4148","","100V 0.15A standard switching diode, DO-35","","https://www.mouser.com/ProductDetail/Diotec-Semiconductor/1N4148?qs=OlC7AqGiEDmWf1%2FPHy84oA%3D%3D","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","",""
"R2,R3,R7","","3","510Ω","","Resistor,Resistor, small symbol","","","~","","",""
"RN10","","1","330Ω","6Y331Q Resistor Pack","3 resistor network, parallel topology, SIP package, split","","https://www.mouser.com/ProductDetail/Bourns/4606X-102-331LF?qs=voaTfGKAYlMLi%252B7uOjKOxg%3D%3D","https://www.mouser.com/datasheet/3/40/1/4600x.pdf","","",""
"RN7,RN8","","2","330Ω","6Y331Q Resistor Pack","3 resistor network, parallel topology, SIP package, split","","https://www.mouser.com/ProductDetail/Bourns/4606X-102-331LF?qs=voaTfGKAYlMLi%252B7uOjKOxg%3D%3D","https://www.mouser.com/datasheet/3/40/1/4600x.pdf","","",""
"RN1,RN2,RN3,RN4,RN5,RN6","","6","330Ω","4308R-120-330","4 resistor network, parallel topology, SIP package","","https://www.mouser.com/ProductDetail/Bourns/4308R-102-331LF?qs=KEpVMF%252BFc%2F8fsGMDGnyF6w%3D%3D","https://www.mouser.com/datasheet/3/40/1/4300R.pdf","","",""
"R1","","1","300Ω","","Standard THT Resistor, 1/4 watt, ±5%","","","~","","",""
"RN9","","1","270Ω","DALE 3-271G 8504","3 resistor network, parallel topology, SIP package, split","","https://www.mouser.com/ProductDetail/Bourns/4606X-102-271LF?qs=uoqEFGqoh2IFz6glguRWUA%3D%3D","https://www.mouser.com/datasheet/3/40/1/4600x.pdf","","",""
"R5","","1","200kΩ","","Standard THT Resistor, 1/4 watt, ±5%","","","~","","",""
"RN11","","1","180Ω","","8 resistor network, parallel topology","DIP-16","https://www.mouser.com/ProductDetail/Bourns/4116R-1-181LF?qs=Ce8Nk3DxA0BHo1k15Gh%252ByQ%3D%3D","https://www.mouser.com/datasheet/3/40/1/4100R.pdf","","",""
"C11","","1","82pF*","39K U2J 1KV","Unpolarized, dipped ceramic filter capacitor, ±10% 1KV","","","~","","",""
"Y1","","1","32.768 kHz","Unmarked","Two pin crystal, can, standard clock freq 32.768 kHz","","https://www.mouser.com/ProductDetail/ABRACON/AB38T-32.768KHZ?qs=m%252BUhWDcpCfbdp9ovMbeW3g%3D%3D","https://www.mouser.com/datasheet/3/184/1/AB38T.pdf","","",""
"BT1","BT","1","3V Lithium","CR2032 Coin Cell holder, P20.8mm","Single-cell battery, CR2032","","https://www.mouser.com/ProductDetail/Eagle-Plastic-Devices/122-7620-GR?qs=GYzcNiWpw3cDoAxkgPPo2w%3D%3D","https://www.mouser.com/catalog/specsheets/EPD-200880.pdf","","",""
"R10","","1","2kΩ","","Standard THT Resistor, 1/4 watt, ±5%","","","~","","",""
"R6","","1","1.6MΩ","","Flame-proof resistor, 1/4 watt, ±5%","","","~","","",""
"R4","","1","1MΩ","","Flame-proof resistor, 1/4 watt, ±5%","","","~","","",""
"C8","","1","0.1µF","","Unpolarized, dipped film bypass capacitor","","","~","","",""
"C1,C2,C3,C9,C10,C12","","6","0.1uF","","0.1uF Dipped Tantalum, 35V","","","~","","",""
"C61,C62,C63,C64,C65,C66","","6","0.1µF","","0.1uF Dipped Tantalum, 35V","","","~","","",""
"C37,C53","","2","0.1µF","","0.1uF Dipped Film, ±10%","","","~","","",""
"C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C29,C30,C31,C32,C33,C34,C35,C36,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C54,C55,C56,C57,C58,C59,C60","","44","0.1µF","","0.1uF Dipped Film, ±10%","","","~","","",""
"C13,C28","","2","0.1µF","","0.1uF Dipped Film, ±10%","","","~","","",""
"C4,C5","","2","39pF","39K U2J 1KV","Unpolarized, dipped ceramic filter capacitor, ±10% 1KV","","","~","","",""
"C7","","1","20pF","20K S2L 1KV","Unpolarized dipped ceramic disk capacitor, ±10%, 1KV","","","~","","",""
